Time, TempExt, TempInt, TempRef, Fan, Resistor
2021-03-18 15:30:59, 27.310, 46.245, 75.000, 0.000, 100.000
2021-03-18 15:31:01, 27.300, 46.245, 75.000, 0.000, 100.000
2021-03-18 15:31:02, 27.300, 46.535, 75.000, 0.000, 100.000
2021-03-18 15:31:03, 27.300, 46.535, 75.000, 0.000, 100.000
2021-03-18 15:31:05, 27.300, 46.374, 75.000, 0.000, 100.000
2021-03-18 15:31:06, 27.310, 46.729, 75.000, 0.000, 100.000
2021-03-18 15:31:07, 27.310, 46.729, 75.000, 0.000, 100.000
2021-03-18 15:31:09, 27.310, 46.729, 75.000, 0.000, 100.000
2021-03-18 15:31:10, 27.320, 46.922, 75.000, 0.000, 100.000
2021-03-18 15:31:12, 27.310, 46.922, 75.000, 0.000, 100.000
2021-03-18 15:31:13, 27.320, 45.826, 75.000, 0.000, 100.000
2021-03-18 15:31:14, 27.320, 45.665, 75.000, 0.000, 100.000
2021-03-18 15:31:16, 27.320, 45.665, 75.000, 0.000, 100.000
2021-03-18 15:31:17, 27.310, 45.665, 75.000, 0.000, 100.000
2021-03-18 15:31:18, 27.330, 46.148, 75.000, 0.000, 100.000
2021-03-18 15:31:20, 27.330, 46.148, 75.000, 0.000, 100.000
2021-03-18 15:31:21, 27.320, 46.954, 75.000, 0.000, 100.000
2021-03-18 15:31:22, 27.320, 48.469, 75.000, 0.000, 100.000
2021-03-18 15:31:24, 27.320, 48.469, 75.000, 0.000, 100.000
2021-03-18 15:31:25, 27.330, 49.661, 75.000, 0.000, 100.000
2021-03-18 15:31:27, 27.330, 49.951, 75.000, 0.000, 100.000
2021-03-18 15:31:28, 27.330, 49.951, 75.000, 0.000, 100.000
2021-03-18 15:31:29, 27.330, 50.273, 75.000, 0.000, 100.000
2021-03-18 15:31:31, 27.330, 49.758, 75.000, 0.000, 100.000
2021-03-18 15:31:32, 27.340, 49.758, 75.000, 0.000, 100.000
2021-03-18 15:31:33, 27.340, 48.372, 75.000, 0.000, 100.000
2021-03-18 15:31:35, 27.340, 48.630, 30.000, 100.000, 0.000
2021-03-18 15:31:36, 27.350, 48.630, 30.000, 0.000, 0.000
2021-03-18 15:31:37, 27.340, 48.308, 30.000, 45.494, 0.000
2021-03-18 15:31:39, 27.340, 48.437, 30.000, 66.831, 0.000
2021-03-18 15:31:40, 27.340, 48.437, 30.000, 84.623, 0.000
2021-03-18 15:31:42, 27.310, 48.823, 30.000, 100.000, 0.000
2021-03-18 15:31:43, 27.320, 50.145, 30.000, 100.000, 0.000
2021-03-18 15:31:44, 27.310, 50.145, 30.000, 100.000, 0.000
2021-03-18 15:31:46, 27.330, 50.209, 30.000, 100.000, 0.000
2021-03-18 15:31:47, 27.330, 50.241, 30.000, 100.000, 0.000
2021-03-18 15:31:48, 27.320, 50.241, 30.000, 100.000, 0.000
2021-03-18 15:31:50, 27.320, 50.531, 30.000, 100.000, 0.000
